,wheel-base,length,width,height,curb-weight,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,engine-type,num-of-cylinders,fuel-system,wheel-base,length,width,height,curb-weight,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,engine-type,num-of-cylinders,fuel-system,lnprice
0,95.0,146.0,65.0,57.0,2392,151,3.0,3.0,8.0,50.0,5015.0,41,16,toyota,gas,turbo,two,hatchback,fwd,front,ohcv,ocho-doce,spdi,-0.6142426954169162,-2.1793850096173584,-0.30845207330120183,1.2148310227768706,-0.29831244437059307,0.6524198591308265,-1.1100382769902901,-0.7149588219482322,-0.5116817089795584,-1.3572768971314673,-0.3022572019016416,2.0311044193641914,-1.9992647361548446,19.0,1.0,1.0,1.0,2.0,1.0,0.0,5.0,0.0,6.0,8.433159195806228
1,100.0,148.0,66.0,55.0,3325,120,4.0,3.0,19.0,128.0,5830.0,26,28,mitsubishi,diesel,std,four,convertible,rwd,front,ohc,cinco-seis,2bbl,0.19565867201556522,-2.0236242549209824,0.15106684409350213,0.4304364963672663,1.5459715652228039,-0.10306710615062875,2.005129946555895,-0.7149588219482322,2.1996500555141085,0.6671214388020096,1.3257169332443306,-0.034425498633291376,-0.34754860301486956,11.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,8.487764380725425
2,100.0,169.0,66.0,56.0,2120,127,3.0,4.0,8.0,67.0,5909.0,21,27,volkswagen,diesel,std,four,hardtop,rwd,front,ohc,cinco-seis,mfi,0.19565867201556522,-0.38813633060903335,0.15106684409350213,0.8226337595720684,-0.8359815232659885,0.06752672471937726,-1.1100382769902901,2.2817250283412522,-0.5116817089795584,-0.916061875197248,1.483520561068296,-0.722935471299119,-0.4851916141098675,20.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,3.0,4.0,8.756682421266532
3,116.0,183.0,67.0,55.0,2512,78,4.0,3.0,9.0,60.0,5731.0,49,57,subaru,diesel,std,four,hatchback,fwd,front,ohc,cuatro-o-menos,idi,2.787343047799506,0.7021889522655994,0.6105857614882061,0.4304364963672663,-0.06110549779909508,-1.1266300913706648,2.005129946555895,-0.7149588219482322,-0.26519700311649785,-1.0977386489348677,1.1279630198953106,3.1327203756295154,3.64409871874007,18.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,2.0,3.0,9.477845246989146
4,91.0,172.0,63.0,56.0,2576,114,4.0,3.0,8.0,58.0,5073.0,24,30,peugot,gas,std,four,hardtop,fwd,front,dohc,cuatro-o-menos,mpfi,-1.2621637893629014,-0.1544951985644692,-1.2274899080906096,0.8226337595720684,0.06540487370570384,-0.24929038975349105,2.005129946555895,-0.7149588219482322,-0.5116817089795584,-1.1496462985741878,-0.18640137387898348,-0.30982948769962243,-0.07226258082487372,13.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,5.0,9.491526390684262
5,86.0,151.0,67.0,61.0,2610,169,3.0,3.0,22.0,105.0,7067.0,29,33,volkswagen,gas,std,four,convertible,rwd,front,ohc,cuatro-o-menos,idi,-2.0720651567953827,-1.7899831228764183,0.6105857614882061,2.7836200755960796,0.13261350856762827,1.0910897099394132,-1.1100382769902901,-0.7149588219482322,2.9391041731032903,0.07018346794983045,3.7966420929689533,0.37868048496620516,0.34066645246012006,20.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,3.0,8.855092980028635
6,99.0,193.0,63.0,58.0,2687,76,3.0,3.0,7.0,76.0,4690.0,37,30,dodge,gas,std,two,hatchback,rwd,front,ohcv,cinco-seis,2bbl,0.03367839852906895,1.48099272574748,-1.2274899080906096,1.607028285981673,0.28482129928433947,-1.1753711859049523,-1.1100382769902901,-0.7149588219482322,-0.7581664148426192,-0.6824774518203084,-0.9514493416837777,1.4802964412315294,-0.07226258082487372,4.0,1.0,0.0,1.0,2.0,2.0,0.0,5.0,3.0,1.0,8.451053388911692
7,112.0,181.0,63.0,53.0,1915,74,4.0,3.0,9.0,47.0,4939.0,26,22,dodge,gas,std,four,sedan,fwd,front,ohc,cinco-seis,mpfi,2.1394219538535206,0.5464281975692232,-1.2274899080906096,-0.3539580300423381,-1.2412100569922975,-1.2241122804392397,2.005129946555895,-0.7149588219482322,-0.26519700311649785,-1.4351383715904473,-0.45406828689684886,-0.034425498633291376,-1.173406669584857,4.0,1.0,0.0,0.0,3.0,1.0,0.0,3.0,3.0,5.0,8.53346016388011
8,105.0,145.0,61.0,56.0,2362,148,3.0,3.0,7.0,92.0,5106.0,44,32,volvo,diesel,turbo,two,hatchback,fwd,front,ohc,cuatro-o-menos,mpfi,1.0055600394480466,-2.2572653869655466,-2.146527742880018,0.8226337595720684,-0.3576141810134676,0.5793082173293953,-1.1100382769902901,-0.7149588219482322,-0.7581664148426192,-0.26721625470574906,-0.12048340276264351,2.444210402963688,0.20302344136512213,21.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,2.0,5.0,8.811503250158239
9,99.0,183.0,67.0,54.0,1993,180,4.0,3.0,9.0,72.0,5188.0,31,13,chevrolet,gas,std,four,hatchback,rwd,front,ohc,cuatro-o-menos,mpfi,0.03367839852906895,0.7021889522655994,0.6105857614882061,0.03823923316246409,-1.0870255417208239,1.3591657298779942,2.005129946555895,-0.7149588219482322,-0.26519700311649785,-0.7862927510989483,0.043312767890080074,0.6540844740325362,-2.4121937694398383,3.0,1.0,0.0,0.0,2.0,2.0,0.0,3.0,2.0,5.0,9.033722518098907
